,race/ethnicity,parental level of education,lunch,test preparation course,math percentage,reading score percentage,writing score percentage,sex
928,group E,associate's degree,free/reduced,completed,0.46,0.43,0.44,M
929,group C,some high school,free/reduced,none,0.48,0.56,0.51,F
930,group C,some college,free/reduced,completed,0.67,0.74,0.7,M
931,group D,some college,free/reduced,none,0.62,0.57,0.62,M
932,group D,associate's degree,free/reduced,completed,0.61,0.71,0.73,M
933,group C,bachelor's degree,free/reduced,completed,0.7,0.75,0.74,M
934,group C,associate's degree,standard,completed,0.98,0.87,0.9,M
935,group D,some college,free/reduced,none,0.7,0.63,0.58,M
936,group A,associate's degree,standard,none,0.67,0.57,0.53,M
937,group E,high school,free/reduced,none,0.57,0.58,0.57,F
938,group D,some college,standard,completed,0.85,0.81,0.85,M
939,group D,some high school,standard,completed,0.77,0.68,0.69,M
940,group C,master's degree,free/reduced,completed,0.72,0.66,0.72,M
941,group D,master's degree,standard,none,0.78,0.91,0.96,F
942,group C,high school,standard,none,0.81,0.66,0.64,M
943,group A,some high school,free/reduced,completed,0.61,0.62,0.61,M
944,group B,high school,standard,none,0.58,0.68,0.61,F
945,group C,associate's degree,standard,none,0.54,0.61,0.58,F
946,group B,high school,standard,none,0.82,0.82,0.8,M
947,group D,some college,free/reduced,none,0.49,0.58,0.6,F
948,group B,some high school,free/reduced,completed,0.49,0.5,0.52,M
949,group E,high school,free/reduced,completed,0.57,0.75,0.73,F
950,group E,high school,standard,none,0.94,0.73,0.71,M
951,group D,some college,standard,completed,0.75,0.77,0.83,F
952,group E,some high school,free/reduced,none,0.74,0.74,0.72,F
953,group C,high school,standard,completed,0.58,0.52,0.54,M
954,group C,some college,standard,none,0.62,0.69,0.69,F
955,group E,associate's degree,standard,none,0.72,0.57,0.62,M
956,group C,some college,standard,none,0.84,0.87,0.81,M
957,group D,master's degree,standard,none,0.92,1.0,1.0,F
958,group D,high school,standard,none,0.45,0.63,0.59,F
959,group C,high school,standard,none,0.75,0.81,0.71,M
960,group A,some college,standard,none,0.56,0.58,0.64,F
961,group D,some high school,free/reduced,none,0.48,0.54,0.53,F
962,group E,associate's degree,standard,none,1.0,1.0,1.0,F
963,group C,some high school,free/reduced,completed,0.65,0.76,0.75,F
964,group D,some college,standard,none,0.72,0.57,0.58,M
965,group D,some college,standard,none,0.62,0.7,0.72,F
966,group A,some high school,standard,completed,0.66,0.68,0.64,M
967,group C,some college,standard,none,0.63,0.63,0.6,M
968,group E,associate's degree,standard,none,0.68,0.76,0.67,F
969,group B,bachelor's degree,standard,none,0.75,0.84,0.8,F
970,group D,bachelor's degree,standard,none,0.89,1.0,1.0,F
971,group C,some high school,standard,completed,0.78,0.72,0.69,M
972,group A,high school,free/reduced,completed,0.53,0.5,0.6,F
973,group D,some college,free/reduced,none,0.49,0.65,0.61,F
974,group A,some college,standard,none,0.54,0.63,0.67,F
975,group C,some college,standard,completed,0.64,0.82,0.77,F
976,group B,some college,free/reduced,completed,0.6,0.62,0.6,M
977,group C,associate's degree,standard,none,0.62,0.65,0.58,M
978,group D,high school,standard,completed,0.55,0.41,0.48,M
979,group C,associate's degree,standard,none,0.91,0.95,0.94,F
980,group B,high school,free/reduced,none,0.08,0.24,0.23,F
981,group D,some high school,standard,none,0.81,0.78,0.78,M
982,group B,some high school,standard,completed,0.79,0.85,0.86,M
983,group A,some college,standard,completed,0.78,0.87,0.91,F
984,group C,some high school,standard,none,0.74,0.75,0.82,F
985,group A,high school,standard,none,0.57,0.51,0.54,M
986,group C,associate's degree,standard,none,0.4,0.59,0.51,F
987,group E,some high school,standard,completed,0.81,0.75,0.76,M
988,group A,some high school,free/reduced,none,0.44,0.45,0.45,F
989,group D,some college,free/reduced,completed,0.67,0.86,0.83,F
990,group E,high school,free/reduced,completed,0.86,0.81,0.75,M
991,group B,some high school,standard,completed,0.65,0.82,0.78,F
992,group D,associate's degree,free/reduced,none,0.55,0.76,0.76,F
993,group D,bachelor's degree,free/reduced,none,0.62,0.72,0.74,F
994,group A,high school,standard,none,0.63,0.63,0.62,M
995,group E,master's degree,standard,completed,0.88,0.99,0.95,F
996,group C,high school,free/reduced,none,0.62,0.55,0.55,M
997,group C,high school,free/reduced,completed,0.59,0.71,0.65,F
998,group D,some college,standard,completed,0.68,0.78,0.77,F
999,group D,some college,free/reduced,none,0.77,0.86,0.86,F
